Year,Region,Disaster Type,Severity Score,Claim Frequency,Claim Amount (USD)
2019,Latin America,Hurricane/Storm,6.7,1838,54955890.64
2019,Latin America,Flood,4.4,620,30365080.83
2021,Europe,Hurricane/Storm,8.7,1606,57680913.17
2020,North America,Flood,4.2,1370,43821512.32
2020,Europe,Flood,4.0,379,8255369.65
2019,Asia-Pacific,Hurricane/Storm,5.8,552,17894282.79
2019,Asia-Pacific,Tornado,6.1,69,2205201.15
2018,Europe,Earthquake,8.3,193,22038021.18
2023,Europe,Earthquake,7.3,291,27522060.38
2019,North America,Earthquake,6.8,375,39909247.05
2021,North America,Hurricane/Storm,5.4,1868,75892138.6
2020,Asia-Pacific,Tornado,6.7,293,5377753.07
2020,Europe,Hurricane/Storm,8.9,1907,137330013.05
2018,Europe,Wildfire,6.9,90,5187267.5
2020,Latin America,Flood,6.3,1258,52858660.94
2020,Asia-Pacific,Hurricane/Storm,5.5,2050,96231887.55
2023,Latin America,Flood,4.8,594,8938179.33
2022,Europe,Tornado,6.0,85,5174455.45
2021,North America,Tornado,8.1,44,870606.41
2023,Asia-Pacific,Hurricane/Storm,8.4,1564,74273469.88
2022,Latin America,Hurricane/Storm,7.5,1570,105034789.26
2020,North America,Flood,6.3,1393,56186788.05
2018,Latin America,Tornado,6.5,61,3551176.59
2018,Latin America,Wildfire,8.5,185,10510412.97
2020,Europe,Hurricane/Storm,5.1,1064,47005857.51
2019,Asia-Pacific,Hurricane/Storm,6.6,1310,96120533.21
2022,Europe,Flood,7.0,750,34410940.86
2020,North America,Wildfire,6.2,193,17176857.14
2018,Latin America,Hurricane/Storm,8.9,966,27108984.8
2018,Middle East & Africa,Earthquake,8.9,375,46079978.0
2022,Asia-Pacific,Flood,5.8,1033,40945839.09
2021,Asia-Pacific,Wildfire,8.3,313,26731554.49
2020,North America,Hurricane/Storm,6.6,2098,149121057.52
2023,Latin America,Flood,4.8,611,26565710.0
2020,North America,Earthquake,9.2,821,57396912.31
2021,Europe,Earthquake,7.4,226,26694540.55
2022,North America,Earthquake,7.6,991,96581104.85
2022,Asia-Pacific,Flood,7.4,729,29129706.68
2018,Asia-Pacific,Flood,5.5,533,23533470.68
2021,Asia-Pacific,Flood,4.9,661,24528262.31
2022,North America,Earthquake,6.1,899,131895738.18
2019,Asia-Pacific,Earthquake,6.5,277,30501632.03
2020,North America,Flood,7.2,825,31770436.11
2018,Asia-Pacific,Flood,7.6,914,25920967.57
2023,North America,Flood,6.1,1477,38233772.06
2021,North America,Hurricane/Storm,7.6,2227,156697744.39
2018,Asia-Pacific,Hurricane/Storm,6.1,1901,50350402.76
2022,North America,Tornado,6.9,151,4433825.07
2022,Asia-Pacific,Wildfire,6.2,126,8342529.42
2023,North America,Flood,7.4,1428,37362102.11
2023,Europe,Flood,4.1,1218,60776694.53
2023,North America,Earthquake,7.4,136,14729122.35
2023,Middle East & Africa,Wildfire,6.4,415,18909650.79
2023,Asia-Pacific,Hurricane/Storm,8.6,1875,77830927.31
2019,Europe,Flood,6.6,1343,23160618.28
2020,North America,Flood,5.0,1344,54454483.42
2021,North America,Hurricane/Storm,6.3,682,22734613.69
2018,North America,Wildfire,6.7,219,12267891.65
2023,Asia-Pacific,Earthquake,6.4,154,21042457.89
2020,Asia-Pacific,Tornado,4.3,109,4635361.86
2022,Latin America,Earthquake,7.0,155,21248161.77
2020,North America,Tornado,5.5,244,5582068.12
2023,Latin America,Flood,4.3,881,31047594.89
2018,North America,Hurricane/Storm,5.0,1060,34516718.63
2023,Asia-Pacific,Hurricane/Storm,5.6,2108,138736228.26
2020,North America,Hurricane/Storm,7.5,1326,60653264.69
2022,Europe,Flood,6.1,964,46274645.81
2020,Latin America,Hurricane/Storm,7.1,536,32484220.24
2023,Asia-Pacific,Flood,6.8,905,20347739.83
2021,North America,Hurricane/Storm,6.2,633,43949588.65
2020,North America,Flood,6.9,1421,44000846.87
2021,Europe,Hurricane/Storm,5.5,2346,115917551.64
2023,Asia-Pacific,Flood,7.6,1026,11044879.05
2020,North America,Tornado,5.0,21,996095.22
2022,North America,Earthquake,8.3,138,12077655.57
2019,Asia-Pacific,Hurricane/Storm,7.5,1716,136732276.86
2019,Asia-Pacific,Hurricane/Storm,5.1,1912,51523408.88
2021,Europe,Flood,5.0,513,9346755.67
2023,Asia-Pacific,Flood,5.7,406,14818723.37
2021,North America,Hurricane/Storm,5.5,2201,162692011.42
2023,Asia-Pacific,Hurricane/Storm,6.1,2107,55573858.0
2023,North America,Flood,5.1,1271,62183406.68
2019,Europe,Earthquake,6.6,661,65859046.55
2022,North America,Tornado,5.5,11,172713.39
2022,North America,Flood,6.3,1211,19334559.22
2020,North America,Hurricane/Storm,7.9,707,52520741.47
2021,Asia-Pacific,Earthquake,9.4,370,35678262.22
2022,North America,Flood,4.2,795,19404826.32
2018,Asia-Pacific,Earthquake,6.4,971,122171608.87
2020,North America,Wildfire,7.7,137,7261857.32
2020,Latin America,Tornado,5.2,57,2023170.45
2019,Europe,Flood,5.6,1134,23670349.0
2021,Europe,Wildfire,8.2,382,35154952.73
2022,North America,Flood,6.9,526,7442123.74
2022,Latin America,Earthquake,8.0,548,37333078.72
2023,Europe,Earthquake,6.1,800,110396019.72
2020,Asia-Pacific,Wildfire,6.9,299,11333781.44
2021,Europe,Flood,5.0,843,8846786.38
2021,Latin America,Hurricane/Storm,8.0,1982,106831253.88
2021,Middle East & Africa,Hurricane/Storm,6.4,1571,96293657.31
2023,Asia-Pacific,Earthquake,8.5,593,50152944.61
2019,Asia-Pacific,Earthquake,8.9,671,93407352.26
2022,Asia-Pacific,Flood,7.7,1235,54282971.39
2021,Latin America,Wildfire,5.3,301,15785754.49
2023,Europe,Flood,6.0,1327,47417283.07
2019,Europe,Flood,5.8,1373,38339574.32
2023,Latin America,Earthquake,6.4,609,75835052.95
2018,North America,Earthquake,6.1,662,33111235.16
2020,North America,Hurricane/Storm,7.5,1123,82435672.36
2022,Asia-Pacific,Hurricane/Storm,6.8,1198,50077057.29
2023,North America,Flood,5.8,1347,54818395.62
2023,Asia-Pacific,Hurricane/Storm,6.5,1426,38275838.54
2022,Asia-Pacific,Flood,5.4,1497,72720288.97
2020,North America,Hurricane/Storm,7.8,593,43770887.88
2018,Europe,Wildfire,8.0,259,9709212.1
2019,Asia-Pacific,Flood,7.7,1004,18698074.5
2023,Asia-Pacific,Flood,5.4,1048,12429295.17
2020,Asia-Pacific,Hurricane/Storm,5.5,2326,109392421.55
2019,Asia-Pacific,Tornado,4.6,265,4038220.92
2019,Asia-Pacific,Hurricane/Storm,6.7,1698,83161108.45
2019,Asia-Pacific,Tornado,4.8,98,5407366.23
2018,North America,Earthquake,8.1,429,43076324.12
2018,Europe,Tornado,8.1,137,4116544.96
2019,Middle East & Africa,Tornado,6.0,78,1762792.22
2021,Asia-Pacific,Wildfire,7.0,481,38049313.43
2022,Latin America,Hurricane/Storm,8.7,1795,59307793.39
2018,North America,Hurricane/Storm,7.7,2386,143977020.76
2021,Middle East & Africa,Hurricane/Storm,8.8,1531,80453267.21
2021,Asia-Pacific,Hurricane/Storm,8.0,1651,80605444.51
2023,Asia-Pacific,Hurricane/Storm,6.7,2031,149546510.93
2022,Asia-Pacific,Wildfire,6.7,56,3729101.55
2019,North America,Flood,6.7,609,12593590.64
2023,Asia-Pacific,Tornado,7.1,84,5137943.98
2023,Asia-Pacific,Flood,7.0,266,6476381.13
2021,Europe,Hurricane/Storm,7.7,1650,118619307.04
2021,Asia-Pacific,Hurricane/Storm,6.0,2106,142807899.73
2021,Asia-Pacific,Hurricane/Storm,5.2,1281,55407450.29
2019,Middle East & Africa,Tornado,5.4,292,5244063.21
2019,Asia-Pacific,Flood,7.5,1107,47821668.58
2023,Latin America,Hurricane/Storm,7.6,2046,113150184.36
2023,Asia-Pacific,Flood,6.9,596,12973196.89
2018,North America,Hurricane/Storm,5.7,855,54809577.63
2018,North America,Flood,5.1,741,11265171.95
2021,Asia-Pacific,Flood,5.3,517,5995971.39
2019,Latin America,Hurricane/Storm,8.1,1780,101347006.61
2019,Asia-Pacific,Earthquake,8.0,466,26696245.07
2023,Asia-Pacific,Hurricane/Storm,8.8,1566,37725861.04
2022,Asia-Pacific,Earthquake,7.9,194,16478417.25
2021,Latin America,Hurricane/Storm,6.3,1101,36450495.58
2018,Asia-Pacific,Hurricane/Storm,9.0,2186,142369863.53
2022,Asia-Pacific,Flood,5.4,692,31956461.97
2019,Asia-Pacific,Hurricane/Storm,8.8,1897,138745839.3
2018,Europe,Hurricane/Storm,5.5,1025,53724594.75
2021,North America,Tornado,7.7,201,8700686.68
2019,Asia-Pacific,Earthquake,7.0,767,53115700.15
2021,Asia-Pacific,Tornado,4.8,285,12633001.26
2023,Asia-Pacific,Flood,6.5,636,28364349.77
2022,Europe,Flood,6.2,1091,39125928.99
2022,Latin America,Hurricane/Storm,5.6,1440,90737419.72
2022,North America,Flood,4.7,715,23111208.27
2020,Asia-Pacific,Flood,5.0,994,27876756.39
2021,Europe,Flood,5.6,442,13875871.66
2022,Asia-Pacific,Hurricane/Storm,8.0,1699,38619988.07
2023,Asia-Pacific,Earthquake,7.8,396,50960919.15
2022,Europe,Flood,7.1,1096,27681171.11
2021,Asia-Pacific,Flood,4.6,650,10045917.97
2022,Europe,Hurricane/Storm,7.2,2466,143133397.19
2021,North America,Wildfire,8.9,493,39958991.14
2019,Europe,Tornado,6.5,294,6696015.42
2023,North America,Hurricane/Storm,6.6,1621,124523215.4
2021,Europe,Hurricane/Storm,8.6,1204,39375876.76
2021,Latin America,Wildfire,5.6,144,6545542.73
2020,Asia-Pacific,Flood,4.7,1361,60006551.4
2019,Latin America,Tornado,8.5,246,12412446.17
2023,North America,Hurricane/Storm,6.0,904,57435961.32
2020,Europe,Flood,4.5,680,9521225.56
2022,Asia-Pacific,Tornado,5.4,240,7934168.23
2021,Asia-Pacific,Hurricane/Storm,5.6,1660,69503546.19
2023,Europe,Earthquake,6.0,352,45255235.94
2019,Asia-Pacific,Hurricane/Storm,6.1,1236,34680120.53
2020,Asia-Pacific,Wildfire,6.9,233,19626449.14
2021,Europe,Flood,6.6,367,16027521.17
2018,Latin America,Flood,6.2,739,29073578.88
2023,Asia-Pacific,Hurricane/Storm,8.6,2239,112914334.34
2020,North America,Hurricane/Storm,6.6,1708,55963715.12
2019,North America,Flood,7.6,1305,37693826.23
2020,Asia-Pacific,Earthquake,6.8,890,96974467.18
2020,Latin America,Flood,6.0,385,9960491.43
2020,Asia-Pacific,Hurricane/Storm,8.4,2151,169737973.88
2022,Asia-Pacific,Hurricane/Storm,5.6,826,25398435.31
2018,Latin America,Hurricane/Storm,8.9,2007,128287978.85
2019,Latin America,Flood,7.0,674,8434736.91
2019,Europe,Flood,4.8,939,23966777.21
2019,Latin America,Wildfire,5.2,382,20125661.48
2021,Asia-Pacific,Hurricane/Storm,8.3,2209,142512712.57
2023,Asia-Pacific,Hurricane/Storm,6.5,1275,53445203.52
2019,Asia-Pacific,Wildfire,7.1,242,23737099.4
2023,North America,Earthquake,8.9,453,44704828.79
2019,Europe,Hurricane/Storm,7.0,784,36372834.88
2018,North America,Hurricane/Storm,6.1,807,25189972.82
2021,Europe,Hurricane/Storm,5.5,971,43575393.29
2021,Europe,Flood,6.7,1181,21763654.65
2020,North America,Wildfire,5.1,72,2804540.98
2022,Asia-Pacific,Flood,6.1,1372,21779956.69
2021,North America,Tornado,6.3,217,10408332.03
2021,Asia-Pacific,Flood,6.9,780,37354320.7
2018,North America,Hurricane/Storm,6.9,1486,44927734.46
2019,Asia-Pacific,Hurricane/Storm,8.2,2180,143987706.73
2021,Asia-Pacific,Hurricane/Storm,5.7,1904,77226766.41
2021,Europe,Hurricane/Storm,5.9,1289,36005368.77
2022,North America,Hurricane/Storm,8.6,1901,85901819.15
2023,North America,Flood,5.9,1459,49595133.19
2018,Latin America,Hurricane/Storm,8.0,690,33764774.71
2022,North America,Hurricane/Storm,8.3,2336,178152915.26
2021,Asia-Pacific,Earthquake,7.5,995,54072109.19
2021,Asia-Pacific,Flood,7.2,980,23540298.3
2018,Asia-Pacific,Tornado,7.8,60,2304115.01
2020,North America,Hurricane/Storm,8.6,671,24824316.05
2020,Latin America,Earthquake,6.7,826,102725133.28
2021,North America,Hurricane/Storm,7.1,1268,75157868.87
2021,Asia-Pacific,Flood,5.4,516,13954117.6
2022,Asia-Pacific,Flood,6.1,1356,33392535.68
2023,North America,Hurricane/Storm,8.0,1346,71507995.63
2023,Asia-Pacific,Flood,6.2,1190,23979815.92
2022,Europe,Flood,6.8,482,21304379.23
2022,Asia-Pacific,Hurricane/Storm,6.8,1932,148676501.08
2019,North America,Hurricane/Storm,8.1,2140,113493985.95
2021,Asia-Pacific,Hurricane/Storm,5.6,2475,143927677.83
2019,Asia-Pacific,Wildfire,6.9,357,21590082.09
2020,North America,Flood,4.3,277,10797401.42
2021,Latin America,Earthquake,8.3,393,47616109.19
2021,Asia-Pacific,Tornado,7.7,263,10294730.68
2018,North America,Hurricane/Storm,8.2,1085,34377996.79
2021,Asia-Pacific,Hurricane/Storm,7.8,1759,53067224.4
2020,North America,Flood,4.0,522,7033277.93
2023,North America,Earthquake,8.3,515,55933128.51
2023,Asia-Pacific,Hurricane/Storm,5.3,684,36235282.5
2021,Asia-Pacific,Hurricane/Storm,7.3,1211,94212481.74
2023,North America,Hurricane/Storm,5.8,2404,106346681.19
2019,North America,Flood,6.0,1344,17331469.78
2021,North America,Tornado,7.6,141,8909256.67
2019,Asia-Pacific,Hurricane/Storm,7.8,2478,105624296.15
2022,Europe,Flood,5.4,1139,42443453.31
2022,Latin America,Wildfire,6.9,182,6320641.28
2018,Asia-Pacific,Tornado,7.0,127,7494127.34
2021,Europe,Earthquake,7.9,817,108838864.57
2022,North America,Flood,6.7,900,11737037.54
2022,Latin America,Earthquake,7.2,687,52835506.26
2023,Latin America,Hurricane/Storm,8.6,1521,97688863.75
2018,North America,Flood,5.1,669,12116033.11
2018,North America,Hurricane/Storm,5.6,718,19524365.46
2023,North America,Tornado,6.2,13,741434.61
2021,Asia-Pacific,Flood,5.9,1471,33269130.75
2019,Latin America,Wildfire,7.3,190,12227711.18
2021,Middle East & Africa,Tornado,5.3,123,6919895.89
2019,North America,Hurricane/Storm,6.7,2424,127129290.01
2018,Asia-Pacific,Earthquake,8.4,278,26610049.75
2020,North America,Hurricane/Storm,6.3,517,10706655.74
2021,North America,Hurricane/Storm,6.3,1754,125780254.53
2020,North America,Flood,5.1,1455,34518213.98
2019,North America,Earthquake,7.5,870,75890937.62
2021,Latin America,Flood,4.7,468,23011980.3
2020,Asia-Pacific,Wildfire,7.9,461,21439432.93
2020,Europe,Earthquake,6.5,856,55601313.7
2021,Asia-Pacific,Flood,6.0,1491,45744295.98
2020,Asia-Pacific,Hurricane/Storm,6.2,1651,118063206.38
2021,North America,Flood,4.7,641,27276295.29
2020,Europe,Hurricane/Storm,6.8,1185,42169584.58
2018,Europe,Hurricane/Storm,8.2,1204,25512904.5
2021,North America,Wildfire,8.9,151,10627344.21
2018,Asia-Pacific,Hurricane/Storm,8.9,1082,44693678.77
2023,Asia-Pacific,Earthquake,8.6,180,15859277.97
2022,North America,Hurricane/Storm,5.6,843,49260569.41
2018,Latin America,Earthquake,8.1,514,69333499.68
2020,North America,Flood,4.9,848,30630204.26
2019,Asia-Pacific,Hurricane/Storm,6.6,2317,108189773.85
2023,Latin America,Earthquake,8.1,561,51274786.32
2018,North America,Flood,6.9,715,34046507.85
2023,Asia-Pacific,Flood,4.7,410,5667080.99
2018,Latin America,Earthquake,6.2,889,79744413.1
2018,Asia-Pacific,Flood,5.0,518,6926929.45
2019,Latin America,Earthquake,6.8,855,67046986.44
2019,Asia-Pacific,Flood,7.4,258,2942799.4
2018,Europe,Tornado,7.9,249,17087372.26
2022,Asia-Pacific,Flood,5.8,1304,22274231.14
2019,Asia-Pacific,Hurricane/Storm,7.5,1655,76293252.98
2019,Asia-Pacific,Hurricane/Storm,8.6,1486,77836809.77
2019,Asia-Pacific,Earthquake,7.3,366,23999261.93
2021,North America,Hurricane/Storm,8.0,779,31653181.03
2023,Europe,Flood,7.7,1177,25875663.19
2018,Asia-Pacific,Hurricane/Storm,7.4,2131,43542891.56
2022,Europe,Earthquake,8.0,504,37794764.34
2019,Asia-Pacific,Hurricane/Storm,8.3,951,34025654.52
2021,Europe,Flood,7.1,1455,61550861.53
2023,Asia-Pacific,Flood,7.0,750,19887116.3
2020,Latin America,Flood,5.2,1132,39290787.86
2020,North America,Hurricane/Storm,5.8,539,15700508.53
2019,Middle East & Africa,Flood,7.9,777,16136584.73
2022,Asia-Pacific,Hurricane/Storm,5.9,808,16873860.58
2022,North America,Earthquake,8.8,610,91375770.22
2023,Europe,Hurricane/Storm,6.3,2227,144831107.5
2023,North America,Flood,5.6,1312,37793302.84
2018,North America,Wildfire,8.3,474,14638581.89
2019,Middle East & Africa,Hurricane/Storm,6.5,2496,116257830.7
2020,Asia-Pacific,Flood,5.8,392,12091461.4
2018,Middle East & Africa,Earthquake,8.4,419,60177418.83
2022,North America,Hurricane/Storm,8.0,1625,83290309.66
2018,North America,Hurricane/Storm,5.8,2317,53581206.28
2020,Asia-Pacific,Tornado,5.1,232,7620792.1
2022,North America,Flood,4.5,697,7218964.38
2023,North America,Hurricane/Storm,6.9,1721,50424467.98
2021,Asia-Pacific,Flood,6.0,1466,34505071.75
2021,Middle East & Africa,Hurricane/Storm,5.2,1228,72052278.39
2023,Asia-Pacific,Hurricane/Storm,5.5,976,38068268.58
2019,Asia-Pacific,Hurricane/Storm,6.4,2326,107747609.42
2018,North America,Hurricane/Storm,6.4,775,27157375.21
2022,North America,Hurricane/Storm,7.2,1611,99595671.33
2023,North America,Flood,5.4,1159,24354042.1
2023,Asia-Pacific,Tornado,6.5,45,1989565.14
2019,Europe,Wildfire,7.2,282,8474209.42
2018,Asia-Pacific,Earthquake,6.6,119,13324841.82
2023,Europe,Hurricane/Storm,6.3,629,37423842.61
2020,Asia-Pacific,Earthquake,7.8,609,77083206.42
2023,North America,Flood,5.6,859,12385547.65
2022,Asia-Pacific,Flood,7.3,465,7972681.68
2018,North America,Flood,4.8,265,8702729.12
2022,Asia-Pacific,Hurricane/Storm,7.1,1936,107289353.95
2018,North America,Flood,6.9,226,10669107.77
2020,North America,Earthquake,9.1,181,17521870.5
2022,Asia-Pacific,Earthquake,8.6,525,69406392.1
2021,Asia-Pacific,Flood,6.5,1283,14916319.77
2023,North America,Flood,7.8,1263,17536464.52
2020,Asia-Pacific,Hurricane/Storm,5.8,1577,93693655.73
2018,Asia-Pacific,Tornado,6.5,295,11161370.14
2022,North America,Hurricane/Storm,6.4,1439,89438202.93
2023,Europe,Flood,7.2,1326,34558592.49
2020,Europe,Flood,8.0,1107,52406264.25
2018,Latin America,Hurricane/Storm,9.0,2230,94336070.76
2021,Asia-Pacific,Earthquake,8.5,723,53554240.81
2021,Asia-Pacific,Earthquake,7.9,862,65002482.76
2018,Middle East & Africa,Earthquake,7.4,843,45072082.66
2021,North America,Flood,4.5,818,8394932.08
2020,Middle East & Africa,Flood,5.3,765,35774829.74
2023,Asia-Pacific,Hurricane/Storm,7.3,693,15429075.36
2021,Europe,Flood,5.5,1392,27832032.52
2023,North America,Flood,6.3,1365,63766346.46
2019,Asia-Pacific,Hurricane/Storm,8.2,854,42099282.65
2021,Latin America,Hurricane/Storm,8.3,695,38721141.15
2019,Europe,Hurricane/Storm,7.3,660,44092827.56
2023,Latin America,Flood,7.5,1089,29033685.8
2022,Latin America,Wildfire,5.9,384,34353973.14
2023,Latin America,Hurricane/Storm,7.5,610,23355072.18
2020,North America,Hurricane/Storm,5.6,1528,94531430.07
2022,North America,Hurricane/Storm,9.0,2488,116281591.71
2022,Asia-Pacific,Hurricane/Storm,5.9,1093,73430033.01
2021,North America,Flood,5.9,300,9577828.86
2021,North America,Earthquake,7.5,814,51312539.24
2021,North America,Hurricane/Storm,7.0,1835,99603508.19
2023,Asia-Pacific,Tornado,6.4,134,2538016.14
2022,Asia-Pacific,Flood,7.7,383,5553957.63
2020,Europe,Earthquake,6.7,452,49443247.14
2020,North America,Flood,8.0,1462,62666235.43
2019,Asia-Pacific,Hurricane/Storm,6.8,2392,165264033.98
2018,North America,Earthquake,8.7,973,56999744.97
2020,Asia-Pacific,Flood,6.5,502,22464547.22
2021,Asia-Pacific,Flood,6.8,427,9481416.29
2019,Europe,Flood,7.0,633,11490250.25
2021,Asia-Pacific,Flood,5.9,489,18485591.57
2022,Asia-Pacific,Earthquake,9.2,639,34728500.28
2022,North America,Flood,7.2,1465,30547093.05
2023,Europe,Tornado,4.3,148,7616670.51
2021,Latin America,Earthquake,6.4,399,54559676.67
2020,Asia-Pacific,Flood,5.5,403,18600417.61
2018,Europe,Hurricane/Storm,5.4,907,45385417.78
2021,Europe,Tornado,4.1,136,8938580.47
2020,Europe,Earthquake,8.6,118,9992002.85
2019,Europe,Hurricane/Storm,5.9,1526,55779415.23
2021,North America,Flood,5.5,260,12419021.66
2019,Latin America,Flood,5.4,1004,36422379.44
2020,North America,Earthquake,9.4,727,99795396.92
2020,Asia-Pacific,Earthquake,8.0,536,78820792.48
2020,Latin America,Flood,6.2,623,22489618.34
2020,Asia-Pacific,Hurricane/Storm,5.8,782,30138204.75
2022,Asia-Pacific,Hurricane/Storm,5.5,2361,185448556.94
2023,North America,Tornado,8.1,172,3221520.83
2020,Asia-Pacific,Hurricane/Storm,5.7,2219,161495019.51
2022,Asia-Pacific,Hurricane/Storm,8.5,1347,104623875.85
2018,Europe,Hurricane/Storm,8.3,1804,137094983.29
2022,North America,Hurricane/Storm,5.4,878,18940122.31
2019,Middle East & Africa,Hurricane/Storm,7.4,1754,59381110.34
2018,North America,Hurricane/Storm,6.4,1909,127501298.65
2019,North America,Wildfire,6.9,382,21459674.39
2023,Latin America,Earthquake,6.5,297,21570309.88
2021,Europe,Tornado,8.2,221,6020146.45
2021,Asia-Pacific,Flood,4.8,562,26461280.07
2022,Middle East & Africa,Wildfire,7.0,216,19585636.57
2019,Latin America,Earthquake,8.7,722,89190954.51
2023,Europe,Flood,6.4,1371,46274310.15
2021,Asia-Pacific,Wildfire,8.1,316,11898076.4
2023,Europe,Wildfire,8.5,175,11604107.49
2023,Europe,Hurricane/Storm,7.2,1557,102621235.28
2021,Middle East & Africa,Flood,5.8,823,33699447.25
2021,North America,Flood,5.2,311,11693014.8
2018,Latin America,Earthquake,8.3,192,23474818.4
2018,North America,Hurricane/Storm,8.8,1925,101610020.58
2020,Europe,Flood,4.1,1129,37948646.86
2019,Asia-Pacific,Flood,5.8,712,16349649.74
2021,Asia-Pacific,Hurricane/Storm,5.7,2001,54852718.67
2023,North America,Earthquake,7.3,636,76782951.95
2019,Asia-Pacific,Tornado,6.8,91,3260286.55
2020,Europe,Hurricane/Storm,8.6,1658,119837461.55
2023,Latin America,Flood,4.6,305,8168896.63
2022,Europe,Hurricane/Storm,6.8,1782,54960019.14
2020,Latin America,Tornado,4.0,139,2178328.36
2021,Europe,Earthquake,8.8,722,99831150.86
2022,North America,Hurricane/Storm,6.9,1339,62280266.54
2022,Asia-Pacific,Flood,7.5,769,26754003.36
2020,Asia-Pacific,Wildfire,5.2,125,4231809.46
2021,Europe,Flood,4.1,1383,60188958.59
2023,North America,Tornado,4.2,223,15533161.99
2022,North America,Flood,6.6,1418,46639868.41
2020,Asia-Pacific,Tornado,7.4,194,12848889.67
2020,North America,Flood,5.5,976,41783135.54
2023,Asia-Pacific,Wildfire,5.3,291,11470697.72
2021,Asia-Pacific,Flood,6.1,1274,23433720.02
2020,North America,Flood,6.3,1488,46362903.01
2020,North America,Hurricane/Storm,7.4,2114,167379557.63
2020,North America,Hurricane/Storm,6.3,1576,85905492.67
2019,Asia-Pacific,Tornado,6.8,264,11506128.22
2018,Asia-Pacific,Earthquake,6.6,724,53049046.7
2023,North America,Flood,4.5,1152,40341231.01
2019,North America,Wildfire,8.2,262,15453514.5
2020,Europe,Hurricane/Storm,7.6,523,30562602.6
2018,Asia-Pacific,Flood,4.3,814,24637814.26
2023,Europe,Flood,6.7,899,23231933.77
2022,Asia-Pacific,Tornado,7.7,109,3616436.42
2023,Europe,Hurricane/Storm,8.7,2132,47188611.45
2019,North America,Flood,5.8,1299,59542450.13
2019,Europe,Wildfire,8.7,78,6899677.32
2019,North America,Hurricane/Storm,6.3,1597,33733600.01
2023,Asia-Pacific,Flood,7.7,924,11687234.01
2021,North America,Wildfire,6.4,242,17873093.76
2020,Asia-Pacific,Hurricane/Storm,6.6,1718,46404345.3
2023,Asia-Pacific,Flood,7.4,264,5507012.72
2022,North America,Wildfire,6.5,474,45765113.56
2022,North America,Flood,4.4,276,11346805.92
2022,Latin America,Earthquake,6.1,594,83454374.56
2020,North America,Flood,5.9,1272,28511051.11
2018,Europe,Hurricane/Storm,5.4,2421,123395458.05
2019,Middle East & Africa,Flood,4.1,993,38277265.95
2020,Asia-Pacific,Flood,7.7,1417,63587880.27
2019,Europe,Wildfire,5.4,442,33648973.83
2020,Europe,Hurricane/Storm,6.2,2327,75838654.8
2019,North America,Flood,6.1,1103,40639992.73
2020,North America,Flood,4.5,1475,47767920.05
2018,North America,Hurricane/Storm,7.2,1055,30060547.26
2023,Asia-Pacific,Flood,5.0,345,7747010.32
2022,Latin America,Hurricane/Storm,5.2,559,26968471.32
2019,Asia-Pacific,Flood,4.2,1073,27551067.37
2020,Asia-Pacific,Wildfire,7.5,403,31819100.75
2018,Asia-Pacific,Flood,7.3,1292,16979236.99
2018,Latin America,Hurricane/Storm,7.3,690,47452032.13
2022,Latin America,Earthquake,7.6,800,91553488.8
2020,Asia-Pacific,Earthquake,9.3,247,33619078.04
2023,Asia-Pacific,Tornado,5.8,179,10450526.36
2019,Latin America,Earthquake,6.1,586,35915181.56
2023,Europe,Wildfire,6.1,228,16486866.09
2021,North America,Flood,7.3,419,9651576.65
2018,Asia-Pacific,Hurricane/Storm,7.1,1320,73170447.77
2018,North America,Flood,4.6,1187,30093605.46
2022,Europe,Wildfire,7.4,451,44475078.99
2020,Asia-Pacific,Flood,6.8,554,20223487.61
2021,North America,Tornado,6.6,259,5513529.15
2021,Asia-Pacific,Flood,4.4,1111,18939172.66
2021,Middle East & Africa,Flood,4.4,1421,58053157.66
2020,Europe,Earthquake,8.3,192,13778146.05
2019,North America,Hurricane/Storm,8.0,2158,43183868.4
2018,North America,Flood,6.1,998,34553640.88
2020,Europe,Flood,7.5,813,26675388.78
2021,Latin America,Flood,7.8,1090,42195697.28
2018,Latin America,Tornado,6.6,271,10089562.49
2018,North America,Flood,5.5,1324,64499958.4
2021,North America,Hurricane/Storm,8.9,724,51892606.15
2021,Latin America,Flood,6.8,1007,35253632.14
2018,Asia-Pacific,Earthquake,7.5,316,36734606.91
2022,Europe,Flood,5.5,937,40851801.5
2023,North America,Tornado,7.0,78,1219775.81
2023,Asia-Pacific,Flood,7.5,1094,53604907.18
2018,North America,Flood,7.2,1133,51827157.5
2019,Asia-Pacific,Tornado,6.8,242,10410312.51
2019,Asia-Pacific,Earthquake,7.2,290,26818383.86
2022,North America,Earthquake,8.6,829,83043317.93
2020,Europe,Hurricane/Storm,6.5,577,31209338.38
2018,Asia-Pacific,Flood,5.9,363,5693110.21
2019,Asia-Pacific,Tornado,8.4,153,6207439.19
2018,North America,Wildfire,5.4,291,21576602.24
