Year,Region,Latitude,Longitude,Disaster Type,Severity Score,Claim Frequency,Claim Amount (USD),Risk Score,Risk Category
2021,Mexico,22.0442,-101.9199,Hurricane/Typhoon,6.3,1875,122099783.91,56.2,Medium
2010,China,36.6301,103.183,Earthquake,7.2,351,47153861.14,37.0,Low
2020,USA,36.741,-94.9099,Wildfire,6.3,371,37037377.04,32.6,Low
2020,Canada,56.6603,-107.5364,Hurricane/Typhoon,6.2,1714,163295361.05,58.3,Medium
2020,USA,37.9316,-93.8093,Flood,6.4,1520,71388126.54,47.9,Medium
2011,UK,55.6191,-3.0988,Drought,5.8,1480,36936914.21,41.7,Medium
2010,Mexico,22.7737,-101.1608,Tornado,6.4,22,942748.81,25.9,Low
2016,USA,35.3164,-96.6421,Wildfire,9.4,306,18436496.12,42.5,Medium
2021,USA,38.2274,-96.894,Hurricane/Typhoon,6.4,2153,99358367.22,57.1,Medium
2015,Mexico,24.588,-101.0906,Wildfire,7.5,293,25129016.45,35.4,Low
2022,UK,56.1545,-2.6583,Flood,5.7,1906,110646327.97,52.9,Medium
2023,Canada,55.3806,-106.1315,Flood,5.1,2014,105431402.97,51.1,Medium
2011,Italy,42.6885,13.1505,Wildfire,7.5,251,26186898.31,35.1,Low
2013,Canada,55.3067,-107.6303,Wildfire,5.8,227,23030413.03,27.8,Low
2013,USA,35.2525,-96.5936,Earthquake,6.6,311,25090676.48,32.0,Low
2013,India,22.34,77.1198,Drought,5.4,1380,30790799.46,38.5,Low
2018,China,35.8222,104.4807,Earthquake,8.7,375,53642778.02,43.9,Medium
2017,Canada,56.2124,-105.195,Flood,6.4,1852,35442742.47,47.7,Medium
2012,Japan,35.0534,137.5775,Earthquake,6.8,683,98119689.48,43.8,Medium
2016,Canada,57.4248,-104.4155,Flood,7.0,2025,52276700.24,53.5,Medium
2012,China,37.5344,103.1653,Flood,8.0,1762,99054282.4,59.5,Medium
2014,Canada,55.6735,-106.1791,Earthquake,9.2,433,61363498.87,47.3,Medium
2017,Germany,51.1072,9.6357,Wildfire,6.4,134,15594226.87,28.5,Low
2013,Japan,38.0251,138.4019,Flood,4.3,1073,57859152.07,33.7,Low
2023,India,19.0057,79.111,Wildfire,9.4,495,47153344.17,47.3,Medium
2011,Canada,57.1176,-107.725,Hurricane/Typhoon,6.3,658,29211832.19,34.7,Low
2017,Japan,35.2076,136.5318,Tornado,8.1,218,9435466.46,35.5,Low
2022,China,35.5921,102.2576,Wildfire,7.4,114,11732565.56,31.9,Low
2023,China,36.6635,102.4804,Drought,3.4,717,15868154.16,22.4,Low
2023,Australia,-23.5632,133.2957,Tornado,4.1,90,4680725.92,17.8,Low
2018,USA,36.654,-94.5201,Hurricane/Typhoon,8.8,890,51516217.27,49.3,Medium
2011,Italy,43.7315,14.0286,Hurricane/Typhoon,8.8,345,25257950.69,41.2,Medium
2010,Brazil,-15.7371,-53.8999,Hurricane/Typhoon,7.1,648,37766392.0,38.7,Low
2020,Philippines,14.4842,121.1454,Hurricane/Typhoon,7.6,2399,116464989.56,66.0,Medium
2018,Japan,36.6675,137.261,Flood,7.0,422,22497852.85,34.5,Low
2023,Canada,58.1073,-106.4949,Hurricane/Typhoon,6.2,575,31648722.71,33.7,Low
2010,Japan,36.5224,140.0562,Earthquake,8.3,290,26681567.99,38.8,Low
2011,China,37.4605,103.4611,Hurricane/Typhoon,7.5,1552,126654821.0,58.2,Medium
2022,Japan,36.4674,139.4808,Drought,3.7,741,11058315.55,23.3,Low
2023,Japan,37.1593,137.9945,Tornado,4.6,385,15359104.15,23.8,Low
2013,Germany,50.9414,11.5491,Hurricane/Typhoon,5.4,2944,224914710.93,73.5,High
2012,Mexico,25.0649,-103.99,Hurricane/Typhoon,6.1,2866,127788470.62,65.8,Medium
2016,USA,35.1645,-95.6813,Flood,6.6,1859,92232447.32,54.2,Medium
2017,Japan,34.3466,137.2925,Tornado,6.4,344,22880071.01,31.3,Low
2017,India,19.4832,80.0486,Wildfire,6.3,525,44666276.55,34.9,Low
2013,USA,36.5455,-97.6676,Flood,8.3,879,43136286.15,46.3,Medium
2023,USA,35.7269,-95.4446,Hurricane/Typhoon,8.5,898,75571359.3,50.5,Medium
2016,Germany,50.5952,9.3253,Hurricane/Typhoon,5.3,1813,97976550.8,49.1,Medium
2010,China,35.9315,105.3558,Earthquake,9.2,97,8224490.69,38.6,Low
2012,China,34.2729,106.0638,Hurricane/Typhoon,6.1,1378,102961247.04,48.5,Medium
2016,Brazil,-14.7234,-52.4059,Hurricane/Typhoon,8.6,618,43877860.24,45.0,Medium
2010,India,22.219,79.0255,Earthquake,9.0,548,95965154.14,51.1,Medium
2016,Italy,39.8964,14.0881,Hurricane/Typhoon,5.9,2407,189210948.68,66.6,Medium
2014,Japan,34.9476,137.6989,Wildfire,5.5,285,22521543.02,27.1,Low
2022,Australia,-26.8166,134.4709,Hurricane/Typhoon,7.4,2951,265595606.26,85.7,High
2022,USA,35.2626,-95.4161,Flood,6.8,360,19830922.28,32.8,Low
2017,USA,35.7554,-94.0202,Hurricane/Typhoon,6.6,2608,204095201.15,72.9,High
2014,Italy,42.7819,13.8452,Drought,3.9,1342,40066103.11,33.0,Low
2016,Mexico,22.3123,-101.2285,Hurricane/Typhoon,8.2,1044,80797983.33,51.3,Medium
2021,Germany,49.8309,11.1924,Drought,5.4,240,3503106.18,24.4,Low
2021,India,19.0243,77.7694,Tornado,6.3,224,15588350.65,29.0,Low
2022,China,34.5697,105.7964,Hurricane/Typhoon,8.5,2476,173814587.16,76.1,High
2018,USA,37.019,-97.1887,Hurricane/Typhoon,8.3,2959,194967946.35,82.3,High
2020,India,22.0893,79.7506,Hurricane/Typhoon,8.8,2274,198686964.04,77.8,High
2021,India,20.9462,79.9256,Wildfire,8.1,150,11967638.67,35.1,Low
2017,Japan,37.2634,139.8903,Flood,6.7,2427,81035349.85,59.2,Medium
2012,Japan,37.0366,139.4077,Hurricane/Typhoon,5.5,329,20563089.86,27.3,Low
2013,Japan,37.4171,137.8854,Flood,5.9,1238,33127184.27,39.3,Low
2014,Brazil,-13.9713,-51.4725,Drought,4.6,517,9442779.16,24.5,Low
2013,UK,55.2999,-3.9491,Hurricane/Typhoon,6.0,1556,116169511.65,51.2,Medium
2010,UK,54.9625,-4.8777,Tornado,4.5,127,5943052.97,19.9,Low
2019,Philippines,11.5172,120.6278,Hurricane/Typhoon,6.4,2555,196330088.77,70.8,High
2021,Philippines,11.0782,121.3264,Hurricane/Typhoon,8.2,895,61128607.05,47.9,Medium
2018,China,34.2126,103.2424,Earthquake,8.1,791,99760224.91,50.3,Medium
2010,Canada,56.5859,-106.256,Wildfire,7.7,229,21713869.77,35.3,Low
2021,India,19.3968,79.5875,Tornado,5.3,27,1810014.3,21.7,Low
2015,Germany,51.9538,10.9108,Wildfire,6.6,50,5914760.65,27.5,Low
2010,USA,36.1937,-96.1123,Wildfire,6.8,255,21991707.21,31.9,Low
2010,Philippines,11.1445,120.1307,Earthquake,8.9,646,78664343.64,49.9,Medium
2019,Canada,55.236,-105.9145,Flood,8.2,219,5858214.47,35.6,Low
2017,India,19.0159,77.2495,Earthquake,9.3,575,112012945.12,54.2,Medium
2018,Italy,43.1226,12.8596,Wildfire,9.3,545,56624248.4,48.3,Medium
2023,Philippines,14.715,121.6054,Hurricane/Typhoon,7.3,412,28394302.41,36.2,Low
2018,Japan,35.7307,139.4046,Flood,7.2,1493,50103838.94,48.7,Medium
2012,India,20.7326,79.7633,Earthquake,7.0,458,73666437.51,39.9,Low
2010,Mexico,21.9341,-100.8244,Hurricane/Typhoon,6.4,2649,148726904.87,67.0,Medium
2018,Canada,56.8624,-104.7003,Hurricane/Typhoon,5.8,1291,119242633.93,48.0,Medium
2011,Japan,35.0111,137.2488,Hurricane/Typhoon,5.6,736,34733834.24,33.2,Low
2023,USA,38.9131,-95.7393,Flood,7.9,373,19828857.85,37.3,Low
2012,India,19.8517,80.5525,Tornado,6.6,150,7417248.16,28.6,Low
2011,Canada,57.794,-107.2189,Flood,6.6,421,16275057.98,32.2,Low
2019,India,22.3486,77.0903,Earthquake,9.0,228,30748883.5,41.4,Medium
2011,USA,37.1628,-96.4474,Flood,7.0,1754,72168978.72,52.8,Medium
2020,Australia,-24.8189,132.8088,Hurricane/Typhoon,5.9,2230,217450888.12,67.6,Medium
2023,Australia,-26.5343,133.4658,Hurricane/Typhoon,8.0,1795,163810919.6,66.3,Medium
2013,Australia,-26.5504,132.2946,Hurricane/Typhoon,5.9,709,59023489.64,36.6,Low
2016,Mexico,23.8514,-101.1248,Flood,7.6,812,29462945.88,41.5,Medium
2011,USA,36.7761,-97.1721,Tornado,6.8,283,17895114.4,31.8,Low
2019,UK,54.5701,-3.1814,Hurricane/Typhoon,6.6,969,42250515.0,40.3,Medium
2013,Mexico,23.5362,-102.0306,Hurricane/Typhoon,6.3,1778,109557505.96,53.9,Medium
2019,Brazil,-12.9899,-52.5434,Hurricane/Typhoon,6.4,2780,144386212.85,67.8,Medium
2019,Brazil,-13.6335,-53.2218,Wildfire,6.6,572,48119249.52,36.9,Low
2010,Philippines,14.4285,121.2943,Earthquake,8.2,198,36469801.78,38.4,Low
2019,China,37.5743,103.8773,Hurricane/Typhoon,6.6,592,26490055.66,35.0,Low
2011,Australia,-26.0161,134.3821,Wildfire,7.7,454,31320264.66,38.5,Low
2016,India,22.0412,78.4127,Hurricane/Typhoon,8.9,1995,99827977.42,65.5,Medium
2020,Mexico,22.1302,-103.6115,Earthquake,8.6,131,13790183.85,37.1,Low
2019,India,18.9722,80.7072,Hurricane/Typhoon,5.2,1926,137591451.37,53.8,Medium
2019,Canada,54.5457,-105.8676,Flood,8.2,1796,51943336.22,56.0,Medium
2018,Japan,35.3367,138.7559,Flood,7.8,317,5256485.8,34.9,Low
2015,India,22.2511,80.417,Hurricane/Typhoon,8.5,1415,103171493.8,58.5,Medium
2014,USA,38.8839,-95.5528,Hurricane/Typhoon,6.8,2904,269019656.06,83.1,High
2013,India,21.1491,79.0951,Drought,4.9,565,14743197.76,26.7,Low
2020,India,20.0531,77.9992,Earthquake,6.0,189,22919309.92,28.2,Low
2021,India,18.6233,80.6484,Drought,4.9,118,2987451.32,21.1,Low
2015,UK,55.758,-2.2429,Hurricane/Typhoon,5.8,2596,171923687.63,66.4,Medium
2013,Japan,37.0598,138.834,Tornado,5.0,50,2266718.15,20.7,Low
2014,Japan,37.2582,139.8898,Tornado,7.1,155,9130650.48,30.9,Low
2016,Brazil,-15.1547,-53.168,Flood,4.6,652,28466432.1,27.8,Low
2012,China,34.9485,104.681,Flood,4.1,403,23630803.61,22.8,Low
2020,USA,38.9793,-96.5815,Flood,6.0,233,5936018.07,26.9,Low
2020,Japan,36.1743,137.6177,Earthquake,8.8,430,58326118.51,45.3,Medium
2014,UK,54.691,-2.0558,Drought,3.2,903,10319207.59,22.9,Low
2017,Germany,49.9288,11.8162,Tornado,7.7,72,5650265.53,32.1,Low
2015,Philippines,12.4092,123.6699,Flood,8.5,1015,36273621.97,47.8,Medium
2022,UK,55.4546,-1.5015,Hurricane/Typhoon,7.7,1578,151760859.55,61.8,Medium
2011,Japan,37.1129,139.2289,Hurricane/Typhoon,5.5,2271,177844736.84,62.5,Medium
2010,Japan,37.7501,139.7046,Flood,4.5,1978,58554945.53,43.6,Medium
2017,Japan,35.3044,136.7286,Wildfire,5.0,93,8432811.42,21.8,Low
2019,Philippines,13.6236,120.39,Wildfire,6.1,561,31639338.96,33.2,Low
2019,China,37.5834,106.1779,Hurricane/Typhoon,5.2,2940,144751212.01,64.7,Medium
2011,Brazil,-15.8004,-51.9686,Earthquake,8.0,710,121270628.98,51.2,Medium
2011,Mexico,23.3849,-103.7781,Wildfire,6.6,187,12631613.8,29.5,Low
2018,USA,37.9165,-95.4739,Hurricane/Typhoon,7.0,2621,134188919.39,67.6,Medium
2013,Australia,-24.3404,132.8713,Tornado,8.1,293,8678837.13,36.2,Low
2018,Brazil,-14.4325,-50.6423,Hurricane/Typhoon,6.8,2913,204951292.56,76.8,High
2014,Philippines,14.4017,122.2489,Earthquake,8.2,378,62944721.6,42.9,Medium
2012,China,36.0158,103.74,Hurricane/Typhoon,7.0,2558,125976104.76,66.2,Medium
2015,Australia,-25.6308,133.0581,Flood,7.0,379,19929222.72,33.8,Low
2011,USA,38.584,-96.9017,Hurricane/Typhoon,5.4,2638,207096454.03,68.7,Medium
2013,India,20.5496,79.4559,Hurricane/Typhoon,5.2,1204,91934089.81,42.0,Medium
2015,USA,38.8108,-96.875,Hurricane/Typhoon,8.6,627,42688384.98,44.9,Medium
2014,China,35.3037,105.1639,Tornado,7.7,372,8741256.55,35.4,Low
2012,China,35.9761,105.1272,Tornado,4.4,120,9316224.57,19.7,Low
2017,USA,37.9907,-95.5834,Flood,6.4,1218,49513216.54,42.7,Medium
2023,Canada,56.3637,-106.1074,Wildfire,8.4,416,40441223.46,41.8,Medium
2018,Philippines,12.5783,120.1864,Wildfire,7.5,566,41672259.93,39.8,Low
2021,Japan,38.1937,138.022,Earthquake,7.1,382,69288108.04,39.1,Low
2014,India,21.123,80.2646,Earthquake,6.8,608,64248196.81,39.7,Low
2019,UK,57.0746,-4.4136,Drought,4.8,913,9133572.16,29.2,Low
2022,USA,36.2279,-97.6448,Flood,8.0,226,6444396.39,34.9,Low
2020,Japan,37.6229,136.3368,Tornado,7.1,151,11347155.47,31.0,Low
2018,Germany,51.4427,10.7364,Flood,6.1,839,17810601.34,34.6,Low
2010,India,20.9186,77.892,Tornado,4.4,214,11586793.79,20.9,Low
2020,Japan,34.5088,137.5488,Hurricane/Typhoon,7.0,2660,237194636.27,78.3,High
2023,USA,37.659,-97.5605,Tornado,5.7,38,2861867.01,23.5,Low
2018,Australia,-23.7508,133.5072,Drought,3.5,564,14073815.25,21.0,Low
2014,Mexico,25.3446,-102.0145,Hurricane/Typhoon,5.2,2447,103926378.26,55.7,Medium
2020,Brazil,-15.6317,-51.9104,Flood,4.2,1809,106182531.12,45.5,Medium
2011,Philippines,13.171,120.1303,Hurricane/Typhoon,8.1,906,43425796.51,45.8,Medium
2012,USA,37.3758,-97.5128,Earthquake,6.3,563,74394219.47,38.3,Low
2014,Philippines,13.9181,121.6937,Flood,5.8,1003,40373300.07,37.3,Low
2011,Canada,56.227,-107.3707,Earthquake,7.5,751,143363323.85,51.8,Medium
2011,USA,37.777,-96.0158,Earthquake,7.1,658,104391162.37,45.4,Medium
2021,UK,54.047,-4.0311,Tornado,7.6,329,9458456.7,34.6,Low
2018,USA,38.3627,-96.9113,Earthquake,8.7,137,12807391.42,37.5,Low
2012,USA,38.8858,-94.0031,Tornado,7.7,17,690136.8,31.0,Low
2014,Mexico,22.8505,-102.6652,Earthquake,8.6,266,27785339.18,39.8,Low
2014,Brazil,-15.1954,-51.9879,Wildfire,5.6,68,5192647.75,23.6,Low
2019,Italy,41.9772,11.5818,Flood,4.9,1311,22796764.24,35.0,Low
2013,China,33.8933,103.7446,Earthquake,9.0,725,89339065.38,52.2,Medium
2021,USA,36.26,-94.1764,Earthquake,9.4,570,112400256.69,54.5,Medium
2015,USA,36.3518,-94.2429,Hurricane/Typhoon,5.7,2350,230317583.51,69.3,Medium
2013,Brazil,-13.3801,-53.761,Drought,4.2,1103,19708399.98,29.8,Low
2020,Japan,35.5871,137.6577,Hurricane/Typhoon,5.9,2353,133068495.43,60.4,Medium
2020,USA,36.1207,-96.1613,Drought,7.0,1236,35822157.86,43.9,Medium
2023,Japan,35.5671,137.8214,Flood,7.3,2332,135785961.47,66.1,Medium
2014,China,36.3621,103.0997,Flood,4.7,1479,82732439.12,41.9,Medium
2018,Australia,-25.1011,132.597,Flood,6.4,1028,55323305.22,41.4,Medium
2017,Australia,-24.4495,133.8652,Flood,8.5,794,35357160.54,45.5,Medium
2014,Brazil,-15.5978,-53.6487,Hurricane/Typhoon,7.9,1054,62244871.54,48.4,Medium
2023,Italy,42.7783,13.6217,Tornado,5.9,220,8404194.99,26.6,Low
2010,Philippines,14.1568,122.3174,Wildfire,5.7,242,13908708.07,26.6,Low
2011,Japan,37.2498,138.6979,Earthquake,8.0,286,43347098.97,39.2,Low
2020,Japan,34.3043,136.5679,Wildfire,5.6,530,52915909.65,33.0,Low
2016,India,21.9985,78.9258,Flood,4.9,332,11084322.05,24.0,Low
2023,Canada,57.8317,-104.5392,Flood,7.0,1030,50572944.93,43.4,Medium
2014,USA,38.7984,-93.7675,Tornado,6.2,176,12673143.0,27.8,Low
2010,Italy,41.5802,13.6649,Hurricane/Typhoon,8.3,1581,100629136.23,59.1,Medium
2010,Canada,56.4177,-106.1954,Hurricane/Typhoon,7.8,457,32556198.08,39.0,Low
2015,India,21.898,77.1297,Drought,5.1,910,27005717.72,32.2,Low
2022,USA,36.6396,-94.6494,Drought,3.8,1000,17960797.83,27.0,Low
2012,Australia,-23.9595,133.6154,Hurricane/Typhoon,7.5,523,42570723.84,39.5,Low
2020,Italy,41.7243,13.1444,Flood,6.3,936,46840155.7,39.2,Low
2014,Canada,56.9145,-107.7988,Hurricane/Typhoon,6.8,1032,69371911.16,44.5,Medium
2012,Italy,43.4532,14.0902,Flood,5.5,871,41221697.14,34.8,Low
2021,USA,35.5467,-95.9124,Earthquake,7.8,443,74080613.11,43.0,Medium
2017,Canada,56.5783,-107.7004,Hurricane/Typhoon,5.2,999,94640431.56,40.3,Medium
2018,Brazil,-13.5919,-53.3196,Tornado,4.8,374,8631407.4,23.8,Low
2021,Australia,-24.3494,135.6139,Earthquake,6.6,184,35926380.06,31.8,Low
2016,USA,38.1516,-97.6612,Hurricane/Typhoon,7.0,323,24702728.58,33.7,Low
2018,Germany,50.0275,11.0879,Hurricane/Typhoon,6.8,2762,209928920.72,75.8,High
2010,Japan,36.3894,138.7291,Hurricane/Typhoon,8.3,500,25545199.62,40.8,Medium
2011,USA,36.4861,-97.1285,Flood,6.6,1422,42517798.51,44.9,Medium
2011,USA,35.5256,-93.7351,Flood,5.3,926,54155440.3,35.9,Low
2021,Philippines,12.3108,119.9134,Wildfire,6.5,438,47049317.0,35.1,Low
2012,Philippines,14.2432,120.0297,Hurricane/Typhoon,5.5,1424,85087576.54,44.7,Medium
2018,India,19.4294,77.7962,Flood,6.6,2366,140596040.91,64.1,Medium
2010,Germany,51.9146,12.1856,Drought,4.1,1346,36282721.35,33.5,Low
2023,Japan,36.5006,138.743,Drought,5.5,1116,22759833.46,35.4,Low
2015,China,35.83,102.9096,Hurricane/Typhoon,7.8,1092,43783581.7,46.5,Medium
2019,USA,37.5918,-97.2383,Tornado,7.6,222,9955027.98,33.6,Low
2018,Australia,-25.0283,134.32,Flood,4.9,1353,35785210.84,36.7,Low
2012,USA,36.2911,-95.51,Wildfire,5.5,391,28893066.59,28.8,Low
2016,Philippines,13.334,119.8865,Flood,5.5,1584,89500101.67,46.8,Medium
2012,Germany,51.058,8.5922,Flood,4.7,2086,115027515.14,51.2,Medium
2010,Brazil,-14.8896,-50.784,Hurricane/Typhoon,8.0,2434,141076160.76,70.4,High
2014,Philippines,12.132,121.9135,Flood,7.1,1648,29630359.14,47.8,Medium
2015,USA,38.453,-96.3534,Earthquake,7.9,219,32525397.53,37.0,Low
2022,India,20.9708,80.4184,Wildfire,8.2,372,37084233.99,40.2,Medium
2023,Australia,-26.9228,135.2782,Earthquake,8.9,359,38031306.0,43.0,Medium
2010,Australia,-26.8211,134.9098,Wildfire,9.1,504,43051492.76,45.7,Medium
2015,UK,56.9898,-4.8137,Earthquake,7.7,586,68704424.41,43.5,Medium
2013,Australia,-24.1921,132.163,Drought,5.1,371,5232488.36,24.6,Low
2020,USA,36.6404,-94.2508,Flood,5.4,380,17448594.86,27.1,Low
2013,China,34.2083,104.0575,Flood,6.3,1479,23681173.78,42.4,Medium
2020,Philippines,13.4254,120.6094,Flood,5.3,2380,69880942.56,52.0,Medium
2011,India,19.0606,77.5573,Earthquake,6.1,687,101095547.95,41.4,Medium
2015,USA,37.2601,-95.5125,Earthquake,9.3,340,50622584.06,45.7,Medium
2022,Japan,35.4455,139.819,Hurricane/Typhoon,5.2,418,28526048.32,27.8,Low
2018,China,34.2837,102.4052,Hurricane/Typhoon,5.7,2741,256219233.62,75.8,High
2023,China,36.6205,103.9733,Earthquake,7.2,252,41718056.23,35.5,Low
2016,China,35.9939,106.0847,Wildfire,7.1,184,10396760.33,31.3,Low
2019,Mexico,24.4244,-104.1609,Earthquake,8.3,526,71780855.62,45.6,Medium
2021,Canada,54.7049,-104.7572,Earthquake,7.3,237,38857039.82,35.5,Low
2012,China,37.0151,105.7196,Hurricane/Typhoon,5.1,2246,105052659.84,53.4,Medium
2013,Germany,52.5431,9.579,Earthquake,8.0,570,52640563.19,43.0,Medium
2023,Mexico,24.817,-103.2465,Hurricane/Typhoon,8.2,2482,167928375.07,74.4,High
2012,China,34.8143,103.1648,Flood,6.2,470,14256104.45,30.9,Low
2022,Mexico,23.9939,-101.4127,Hurricane/Typhoon,8.1,2530,206569413.2,78.4,High
2022,Japan,36.8784,139.2075,Wildfire,8.8,167,15272387.05,38.4,Low
2012,India,20.8104,80.2481,Flood,8.3,485,20332006.64,40.1,Medium
2016,Philippines,13.2556,123.0495,Earthquake,8.3,112,10176763.58,35.3,Low
2010,Mexico,25.179,-100.937,Hurricane/Typhoon,5.0,900,71687595.26,36.2,Low
2012,India,19.756,79.4223,Hurricane/Typhoon,5.8,1596,92542655.61,48.4,Medium
2021,UK,56.0882,-1.756,Drought,5.9,805,23993657.03,34.0,Low
2015,China,36.306,104.2317,Tornado,7.8,41,1728288.32,31.8,Low
2022,Brazil,-16.0175,-51.1066,Tornado,5.6,154,11078879.84,25.0,Low
2016,Japan,37.0089,137.8271,Earthquake,7.3,440,58178034.56,39.4,Low
2022,Japan,34.8936,136.8063,Hurricane/Typhoon,8.4,1775,160456026.14,67.4,Medium
2020,Japan,38.1898,138.9303,Flood,4.3,264,5670671.13,20.4,Low
2023,Italy,42.5017,14.4599,Flood,4.6,1903,102204181.78,47.7,Medium
2021,Italy,42.6516,14.2812,Hurricane/Typhoon,6.8,2037,148951554.71,62.5,Medium
2022,India,20.0112,77.7032,Hurricane/Typhoon,7.3,1269,104981578.12,52.4,Medium
2013,Japan,37.9063,138.5554,Flood,4.2,2179,101802257.71,48.8,Medium
2014,USA,37.0161,-94.948,Flood,7.3,1344,48279349.08,47.5,Medium
2012,USA,38.6497,-97.3562,Hurricane/Typhoon,8.0,619,50166509.07,43.2,Medium
2022,Brazil,-13.9115,-51.4678,Drought,5.1,122,2364039.9,21.9,Low
2021,Germany,51.0369,11.3853,Hurricane/Typhoon,8.8,1506,86372874.93,58.9,Medium
2011,USA,38.7815,-94.7123,Wildfire,7.5,112,10533712.42,32.2,Low
2016,Brazil,-13.9386,-51.2947,Earthquake,8.6,77,8810176.65,36.1,Low
2023,USA,37.1124,-94.3042,Earthquake,6.5,337,38089780.12,33.2,Low
2010,Japan,37.1657,138.6653,Drought,6.0,1449,27434008.8,41.2,Medium
2023,Mexico,22.675,-101.7469,Hurricane/Typhoon,8.2,435,26348332.68,39.8,Low
2017,USA,35.6703,-93.9742,Flood,6.2,1891,93919447.02,53.1,Medium
2013,Japan,35.9607,138.8003,Flood,7.3,1613,28138237.22,48.1,Medium
2013,Japan,37.4781,136.4601,Hurricane/Typhoon,6.9,2250,190730323.63,69.2,Medium
2023,Philippines,13.0001,121.2892,Wildfire,7.1,198,17251927.96,32.1,Low
2017,India,19.7452,80.1492,Earthquake,7.1,592,95871533.13,43.9,Medium
2015,USA,38.7608,-95.1603,Drought,4.7,1435,38984807.82,37.0,Low
2014,Australia,-26.2016,132.1631,Wildfire,6.8,297,30116376.75,33.2,Low
2023,China,34.6397,103.5396,Wildfire,5.8,60,5825767.81,24.4,Low
2022,Mexico,21.6778,-104.1592,Flood,6.0,1098,52304634.91,40.2,Medium
2023,Japan,34.3362,138.7276,Flood,6.7,1088,62855939.44,44.0,Medium
2013,China,36.6923,102.6699,Tornado,4.6,346,22777687.23,24.1,Low
2013,China,37.0728,102.9291,Flood,4.8,1406,50634279.37,38.3,Low
2010,Canada,56.6851,-104.6492,Earthquake,7.5,733,126358689.59,50.0,Medium
2020,Australia,-26.6221,132.066,Wildfire,6.7,390,46689668.88,35.4,Low
2013,Japan,37.4512,136.9617,Flood,8.4,1021,43355320.1,48.1,Medium
2016,Japan,36.1682,136.8255,Wildfire,6.0,158,17993458.0,27.4,Low
2015,Philippines,11.2831,120.0617,Hurricane/Typhoon,6.0,2126,87433637.01,54.0,Medium
2014,Germany,51.7715,8.4535,Flood,5.8,820,38132036.86,35.2,Low
2023,Italy,42.1686,12.6215,Drought,5.0,993,17951707.25,31.7,Low
2011,Philippines,14.1191,120.0504,Flood,5.7,2174,44467353.11,49.0,Medium
2022,Brazil,-12.2636,-52.5862,Earthquake,6.2,712,64706586.33,38.4,Low
2014,Brazil,-12.3863,-53.5982,Hurricane/Typhoon,8.1,2953,154108885.12,77.3,High
2015,Brazil,-12.3599,-51.2771,Earthquake,7.4,159,24752173.46,33.7,Low
2020,India,18.9294,79.4912,Wildfire,5.6,247,12788554.03,26.1,Low
2018,Canada,55.0839,-106.7849,Wildfire,7.9,561,49017825.64,42.1,Medium
2016,Mexico,23.4272,-100.5667,Flood,4.3,375,12467945.07,22.2,Low
2020,Japan,36.8154,138.3425,Drought,6.5,1198,15548928.96,39.5,Low
2023,Brazil,-12.5307,-53.7725,Flood,6.9,2130,118903095.47,60.8,Medium
2018,China,34.8307,104.7851,Flood,6.8,1458,75718700.42,49.4,Medium
2015,USA,37.5349,-94.3686,Flood,7.7,667,24926762.05,40.0,Medium
2010,UK,54.2523,-2.2122,Hurricane/Typhoon,8.2,1946,115697671.71,63.8,Medium
2011,Canada,56.4339,-107.7907,Tornado,7.6,33,1834308.8,30.9,Low
2014,Australia,-26.787,132.3349,Hurricane/Typhoon,7.8,2566,128044343.27,69.7,Medium
2012,Japan,36.5279,136.7835,Wildfire,7.8,435,45429796.87,40.1,Medium
2019,USA,37.0379,-97.6846,Flood,4.4,1362,45940261.23,35.8,Low
2014,Mexico,24.7203,-101.7806,Flood,6.9,2342,82599672.22,59.3,Medium
2010,Japan,34.8982,139.0167,Hurricane/Typhoon,7.9,2806,272232182.07,86.9,High
2011,China,36.9903,103.5814,Flood,5.1,681,40449465.02,31.3,Low
2019,Canada,56.6057,-104.8891,Drought,5.0,1050,26676956.95,33.2,Low
2016,China,34.9657,102.9649,Wildfire,8.1,535,45381930.68,42.3,Medium
2015,Japan,37.8907,136.4661,Earthquake,6.7,307,36875414.14,33.6,Low
2021,Mexico,24.6636,-104.3767,Wildfire,9.2,230,14044534.33,40.5,Medium
2022,USA,37.1496,-97.4266,Flood,6.0,1535,51972002.89,44.5,Medium
2015,Philippines,14.4635,120.6903,Flood,5.0,1171,56440623.8,37.4,Low
2016,Mexico,23.1321,-103.6673,Hurricane/Typhoon,6.9,2085,101532153.12,58.6,Medium
2019,Canada,55.95,-106.7907,Flood,7.2,1668,98245225.2,55.3,Medium
2018,Japan,34.7088,139.0188,Flood,4.6,2106,75049524.72,47.0,Medium
2011,Japan,35.5743,139.7956,Hurricane/Typhoon,8.2,2913,283043417.65,90.2,High
2016,Italy,42.1825,12.771,Flood,5.9,2337,86503127.06,55.6,Medium
2019,Canada,56.4963,-104.992,Earthquake,8.6,302,33141411.53,40.7,Medium
2013,India,19.4796,80.6699,Drought,6.7,110,2019098.08,28.1,Low
2014,USA,39.0551,-94.7761,Hurricane/Typhoon,6.7,1915,131668047.08,59.1,Medium
2010,UK,56.6552,-3.6202,Flood,6.5,250,11548048.19,29.7,Low
2021,India,19.462,78.3936,Flood,8.5,265,9696411.7,37.6,Low
2016,Australia,-24.4568,135.2017,Wildfire,5.1,515,42468571.16,29.8,Low
